order_pay_date,pay_order_num,aim_order_num,pay_goods_num,demand_goods_num,peihuo_order_num,peihuo_duration,t0_peihuo_order_num,t0_peihuo_duration,t1_peihuo_order_num,t1_peihuo_duration,t2_peihuo_order_num,t2_peihuo_duration,t3_peihuo_order_num,t3_peihuo_duration,t4_peihuo_order_num,t4_peihuo_duration,t5_peihuo_order_num,t5_peihuo_duration,t6_peihuo_order_num,t6_peihuo_duration,t7_peihuo_order_num,t7_peihuo_duration,ship_order_num,ship_goods_num,aim_order_rate,demand_goods_rate,mean_peihuo_duration,peihuo_order_rate,ship_order_rate,ship_goods_rate
2017-12-18,15128,126,162117,146504,13515,753469.774722222,125,596.278888888889,1325,50581.9180555556,8163,416660.713055555,3260,219692.930555556,364,32773.3305555556,231,26535.1980555555,47,6629.40555555556,0,0,13506,147521,0.00832892649391856,0.90369301183713,55.7506307600609,0.893376520359598,0.892781597038604,0.909966258936447
2017-12-19,13662,109,136681,121195,12119,674193.999722222,92,570.060555555556,2586,93673.7272222222,5698,301783.096944444,2706,178930.253055556,826,73819.3597222222,155,17538.4619444444,55,7734.8075,1,144.232777777778,12113,123686,0.00797833406529059,0.88669968759374,55.6311576633569,0.887058995754648,0.88661982140243,0.904924605468207
2017-12-20,13331,144,131630,111076,11843,709055.462222222,135,829.890833333333,1946,72148.0191666667,4328,230667.901666667,4073,272232.440555556,1044,94129.9411111111,237,27994.5677777778,79,10908.3483333333,1,144.352777777778,11830,119428,0.0108018903308079,0.843850186127782,59.8712709805136,0.888380466581652,0.887405295926787,0.907300767302287
2017-12-21,13382,142,134625,109795,11859,741025.626388889,156,1132.43361111111,1031,37315.1883333333,5122,270045.454722222,3774,265960.3725,1483,131737.2,252,29212.25,40,5478.38083333333,1,144.346388888889,11845,121700,0.0106112688686295,0.815561745589601,62.4863501466303,0.886190405021671,0.885144223583919,0.903992571959146
2017-12-22,16822,162,200493,163777,14916,956239.881388889,136,782.271944444444,1420,52141.4277777778,4283,232315.103055556,6952,472905.880277778,1740,153793.151944444,318,34913.3977777778,66,9244.24333333333,1,144.405277777778,14907,181244,0.00963024610628938,0.816871411969495,64.1083320856053,0.886695993342052,0.88616097966948,0.903991660556728
2017-12-23,22054,75,307894,278765,19569,1284123.15777778,50,138.439166666667,909,33731.415,7865,440129.744444444,8369,586704.162777778,2049,184180.093333333,251,28508.0263888889,69,9709.43277777778,7,1021.84388888889,19558,279374,0.0034007436292736,0.905392765042515,65.6202748110674,0.887322027750068,0.886823252017775,0.907370718494027
2017-12-24,22130,68,295656,278173,19448,1233386.1375,44,113.416388888889,1244,47841.7905555556,8990,502120.694444444,7590,532565.213888889,1360,123358.156666667,137,15573.5397222222,79,11169.1363888889,4,644.189444444444,19430,265850,0.00307275192046995,0.940867088778851,63.4196903280543,0.878807049254406,0.877993673746046,0.899186892875504
2017-12-25,21669,55,297424,281587,19179,1144420.66583333,43,236.475277777778,1905,73304.1469444444,9057,496132.436666667,7271,485445.893888889,681,61329.7002777778,137,15989.4002777778,85,11982.6125,0,0,19151,269497,0.00253818819511745,0.94675278390446,59.670507629873,0.885089298075592,0.883797129539896,0.906103744149766
2017-12-26,19858,71,252301,238661,17578,999927.678055555,62,421.283055555556,1773,66391.2302777778,10357,547670.253611111,4425,292469.430833333,767,69253.7025,165,19474.4652777778,26,3694.18861111111,3,553.123888888889,17568,228471,0.0035753852351697,0.945937590417795,56.8851790906562,0.885184812166381,0.884681236781146,0.905549324021704
2017-12-27,17996,107,200985,184707,15882,882064.069722222,89,464.938333333333,2931,111495.661666667,7535,395823.270277778,4649,308693.342222222,597,55588.4705555555,60,7098.30444444444,21,2900.08222222222,0,0,15874,181333,0.00594576572571683,0.919008881259796,55.5386015440261,0.882529450989109,0.882084907757279,0.902221558822798
2017-12-28,15294,130,162114,138948,13684,732958.027222222,155,1218.17361111111,2073,75223.5377777778,8285,429490.571111111,2771,187288.236666667,285,25531.8325,81,9295.65388888889,32,4541.94694444444,2,368.074722222222,13672,148134,0.00850006538511835,0.857100558865983,53.5631414222612,0.894729959461227,0.893945338041062,0.913764388023243
2017-12-29,13616,310,136623,99332,12139,624099.686111111,261,1428.56,2998,107010.359722222,5778,293611.566388889,2434,158605.381944444,555,49182.8572222222,81,9498.14388888889,28,3976.50861111111,4,786.308333333333,12119,124342,0.0227673325499412,0.727051814116218,51.4127758555986,0.891524676850764,0.890055816686251,0.910110303536008
2017-12-30,14501,428,154309,97391,13038,714114.828333333,369,2254.455,3118,112348.841388889,5226,265326.050555556,2882,189884.5475,1047,97153.2833333333,331,37696.0772222222,57,7851.59944444444,8,1599.97388888889,13016,141245,0.0295152058478726,0.631142707165493,54.7718076647748,0.899110406178884,0.897593269429695,0.915338703510489
2017-12-31,15395,598,159656,89394,13791,841836.986666667,423,2180.94916666667,2489,86412.4027777778,4326,222853.378611111,4156,301893.751666667,2046,187951.319166667,320,36252.2997222222,31,4292.88555555556,0,0,13767,146247,0.0388437804481975,0.55991632008819,61.0424905131366,0.895810328028581,0.894251380318285,0.916013178333417
2018-01-01,13375,642,139019,72362,12024,731996.558333333,477,2557.68027777778,1156,37980.7977777778,5420,303208.507222222,4153,308630.036666667,735,69011.5630555556,62,7536.07138888889,19,2690.26944444444,2,381.6325,12004,127504,0.048,0.520518778008761,60.8779572798847,0.898990654205608,0.897495327102804,0.917169595522914
2018-01-02,9893,841,87363,42041,8812,428577.155277778,593,2844.455,2256,77723.6888888889,3627,186745.605833333,2094,138096.245277778,204,18631.1669444444,28,3114.38333333333,10,1421.61,0,0,8786,79676,0.0850096027494188,0.481222027631835,48.6356281522671,0.890730819771556,0.888102698877995,0.912010805489738
2018-01-03,9525,891,83431,37631,8436,395885.644722222,657,2862.68472222222,1781,59866.6366666667,4569,228939.203055556,1165,79309.4811111111,231,20728.3144444444,21,2490.01444444444,11,1545.29083333333,1,144.019444444444,8398,75310,0.0935433070866142,0.451043377161966,46.9281228926295,0.885669291338583,0.881679790026247,0.902662080042191
2018-01-04,8751,849,77042,33115,7767,351714.812777778,654,2955.02861111111,2663,93389.7355555555,3114,157663.664722222,1138,77803.6177777778,148,13706.4602777778,35,4107.45027777778,15,2088.85555555556,0,0,7741,69824,0.0970174837161467,0.429830482074712,45.283225541107,0.887555707919095,0.884584618900697,0.906310843436048
2018-01-05,8906,1003,74776,31929,7843,363278.850277778,770,3370.67916666667,2208,75922.2122222222,2976,149752.353888889,1539,102240.346388889,280,24139.7477777778,61,6608.62027777778,9,1244.89055555556,0,0,7811,67702,0.1126207051426,0.426995292607254,46.3188639905365,0.880642263642488,0.877049180327869,0.905397453728469
2018-01-06,8001,874,70278,29738,7058,350281.105,599,3174.80944444445,1690,59305.3027777778,2924,150521.854722222,1357,92697.0055555556,426,37492.6363888889,61,6969.43138888889,1,120.064722222222,0,0,7020,63466,0.109236345456818,0.423148069097015,49.628946585435,0.882139732533433,0.877390326209224,0.903070662227155
2018-01-07,7861,824,67772,31112,6896,339197.135833333,562,2684.53111111111,1669,57379.1188888889,2752,145272.166944444,1732,116600.485833333,172,16293.2705555556,9,967.5625,0,0,0,0,6849,61199,0.10482126955858,0.459068641917016,49.1875196974091,0.877242081160158,0.871263198066404,0.903013043734876
2018-01-08,8032,1011,66682,29331,6933,306348.627777778,770,3011.475,1644,57764.4630555556,3371,168374.941388889,1098,73209.8322222222,50,3987.91611111111,0,0,0,0,0,0,6753,61365,0.125871513944223,0.439863831318797,44.1870226132667,0.863172310756972,0.840761952191235,0.920263339431931
